02-Aug-2022/10:22:58	: Waiting ScreenRecord
02-Aug-2022/10:22:59	: Waiting ScreenRecord
02-Aug-2022/10:22:59	: Waiting For Audio
02-Aug-2022/10:22:59	: Waiting ScreenRecord
02-Aug-2022/10:22:59	: Waiting For Audio
02-Aug-2022/10:23:00	: Waiting ScreenRecord
02-Aug-2022/10:23:00	: Waiting For Audio
02-Aug-2022/10:23:00	: Waiting For Audio
02-Aug-2022/10:23:00	: Waiting ScreenRecord
02-Aug-2022/10:23:01	: Waiting ScreenRecord
02-Aug-2022/10:23:01	: Waiting For Audio
02-Aug-2022/10:23:01	: Waiting For Audio
02-Aug-2022/10:23:01	: Waiting ScreenRecord
02-Aug-2022/10:23:02	: Waiting ScreenRecord
02-Aug-2022/10:23:02	: Waiting For Audio
02-Aug-2022/10:23:03	: Waiting For Audio
02-Aug-2022/10:23:03	: Waiting ScreenRecord
02-Aug-2022/10:23:03	: Waiting ScreenRecord
02-Aug-2022/10:23:03	: Waiting For Audio
02-Aug-2022/10:23:04	: Waiting For Audio
02-Aug-2022/10:23:04	: Waiting ScreenRecord
02-Aug-2022/10:23:04	: Waiting ScreenRecord
02-Aug-2022/10:23:04	: Waiting For Audio
02-Aug-2022/10:23:05	: Waiting For Audio
02-Aug-2022/10:23:05	: Waiting ScreenRecord
02-Aug-2022/10:23:05	: Waiting ScreenRecord
02-Aug-2022/10:23:05	: Waiting For Audio
02-Aug-2022/10:23:06	: Waiting ScreenRecord
02-Aug-2022/10:23:06	: Waiting For Audio
02-Aug-2022/10:23:06	: Waiting ScreenRecord
02-Aug-2022/10:23:06	: Waiting For Audio
02-Aug-2022/10:23:07	: Waiting For Audio
02-Aug-2022/10:23:07	: Waiting ScreenRecord
02-Aug-2022/10:23:07	: Waiting ScreenRecord
02-Aug-2022/10:23:07	: Waiting For Audio
02-Aug-2022/10:23:08	: Waiting ScreenRecord
02-Aug-2022/10:23:08	: Waiting For Audio
02-Aug-2022/10:23:08	: Waiting ScreenRecord
02-Aug-2022/10:23:08	: Waiting For Audio
02-Aug-2022/10:23:09	: Waiting For Audio
02-Aug-2022/10:23:09	: Waiting ScreenRecord
02-Aug-2022/10:23:09	: Waiting ScreenRecord
02-Aug-2022/10:23:09	: Waiting For Audio
02-Aug-2022/10:23:10	: Waiting ScreenRecord
02-Aug-2022/10:23:10	: Waiting For Audio
02-Aug-2022/10:23:10	: Waiting ScreenRecord
02-Aug-2022/10:23:11	: Waiting For Audio
02-Aug-2022/10:23:11	: Waiting ScreenRecord
02-Aug-2022/10:23:11	: Waiting For Audio
02-Aug-2022/10:23:11	: Waiting ScreenRecord
02-Aug-2022/10:23:12	: Waiting For Audio
02-Aug-2022/10:23:12	: Waiting ScreenRecord
02-Aug-2022/10:23:12	: Waiting For Audio
02-Aug-2022/10:23:13	: Waiting ScreenRecord
02-Aug-2022/10:23:13	: Waiting For Audio
02-Aug-2022/10:23:13	: Waiting For Audio
02-Aug-2022/10:23:13	: Waiting ScreenRecord
02-Aug-2022/10:23:14	: Waiting ScreenRecord
02-Aug-2022/10:23:14	: Waiting For Audio
02-Aug-2022/10:23:14	: Waiting ScreenRecord
02-Aug-2022/10:23:14	: Waiting For Audio
02-Aug-2022/10:23:15	: Waiting ScreenRecord
02-Aug-2022/10:23:15	: Waiting For Audio
02-Aug-2022/10:23:15	: Waiting ScreenRecord
02-Aug-2022/10:23:15	: Waiting For Audio
02-Aug-2022/10:23:16	: Waiting For Audio
02-Aug-2022/10:23:16	: Waiting ScreenRecord
02-Aug-2022/10:23:16	: Waiting ScreenRecord
02-Aug-2022/10:23:16	: Waiting For Audio
02-Aug-2022/10:23:17	: Waiting ScreenRecord
02-Aug-2022/10:23:17	: Waiting For Audio
02-Aug-2022/10:23:17	: Waiting ScreenRecord
02-Aug-2022/10:23:17	: Waiting For Audio
02-Aug-2022/10:23:18	: Waiting ScreenRecord
02-Aug-2022/10:23:18	: Waiting For Audio
02-Aug-2022/10:23:18	: Waiting For Audio
02-Aug-2022/10:23:18	: Waiting ScreenRecord
02-Aug-2022/10:23:19	: Waiting For Audio
02-Aug-2022/10:23:19	: Waiting ScreenRecord
02-Aug-2022/10:23:19	: Waiting ScreenRecord
02-Aug-2022/10:23:19	: Waiting For Audio
02-Aug-2022/10:23:20	: Waiting ScreenRecord
02-Aug-2022/10:23:20	: Waiting For Audio
02-Aug-2022/10:23:20	: Waiting For Audio
02-Aug-2022/10:23:20	: Waiting ScreenRecord
02-Aug-2022/10:23:21	: Waiting For Audio
02-Aug-2022/10:23:21	: Waiting ScreenRecord
02-Aug-2022/10:23:21	: Waiting For Audio
02-Aug-2022/10:23:21	: Waiting ScreenRecord
02-Aug-2022/10:23:22	: Waiting For Audio
02-Aug-2022/10:23:22	: Waiting ScreenRecord
02-Aug-2022/10:23:22	: Waiting For Audio
02-Aug-2022/10:23:22	: Waiting ScreenRecord
02-Aug-2022/10:23:23	: Waiting ScreenRecord
02-Aug-2022/10:23:23	: Waiting For Audio
02-Aug-2022/10:23:23	: Waiting For Audio
02-Aug-2022/10:23:23	: Waiting ScreenRecord
02-Aug-2022/10:23:24	: Waiting ScreenRecord
02-Aug-2022/10:23:24	: Waiting For Audio
02-Aug-2022/10:23:24	: Waiting For Audio
02-Aug-2022/10:23:24	: Waiting ScreenRecord
02-Aug-2022/10:23:25	: Waiting ScreenRecord
02-Aug-2022/10:23:25	: Waiting For Audio
02-Aug-2022/10:23:25	: Waiting For Audio
02-Aug-2022/10:23:25	: Waiting ScreenRecord
02-Aug-2022/10:23:26	: Waiting For Audio
02-Aug-2022/10:23:26	: Waiting ScreenRecord
02-Aug-2022/10:23:26	: Waiting ScreenRecord
02-Aug-2022/10:23:26	: Waiting For Audio
02-Aug-2022/10:23:27	: Waiting ScreenRecord
02-Aug-2022/10:23:27	: Waiting For Audio
02-Aug-2022/10:23:27	: Waiting ScreenRecord
02-Aug-2022/10:23:27	: Waiting For Audio
02-Aug-2022/10:23:28	: Waiting ScreenRecord
02-Aug-2022/10:23:28	: Waiting For Audio
02-Aug-2022/10:23:28	: Waiting ScreenRecord
02-Aug-2022/10:23:28	: Waiting For Audio
02-Aug-2022/10:23:29	: Waiting ScreenRecord
02-Aug-2022/10:23:29	: Waiting For Audio
02-Aug-2022/10:23:29	: Waiting For Audio
02-Aug-2022/10:23:29	: Waiting ScreenRecord
02-Aug-2022/10:23:30	: Waiting ScreenRecord
02-Aug-2022/10:23:30	: Waiting For Audio
02-Aug-2022/10:23:30	: Waiting ScreenRecord
02-Aug-2022/10:23:30	: Waiting For Audio
02-Aug-2022/10:23:31	: Waiting ScreenRecord
02-Aug-2022/10:23:31	: Waiting For Audio
02-Aug-2022/10:23:31	: Waiting For Audio
02-Aug-2022/10:23:31	: Waiting ScreenRecord
02-Aug-2022/10:23:32	: Waiting For Audio
02-Aug-2022/10:23:32	: Waiting ScreenRecord
02-Aug-2022/10:23:32	: Waiting ScreenRecord
02-Aug-2022/10:23:32	: Waiting For Audio
02-Aug-2022/10:23:33	: Waiting ScreenRecord
02-Aug-2022/10:23:33	: Waiting For Audio
02-Aug-2022/10:23:33	: Waiting ScreenRecord
02-Aug-2022/10:23:33	: Waiting For Audio
02-Aug-2022/10:23:34	: Waiting For Audio
02-Aug-2022/10:23:34	: Waiting ScreenRecord
02-Aug-2022/10:23:34	: Waiting ScreenRecord
02-Aug-2022/10:23:34	: Waiting For Audio
02-Aug-2022/10:23:35	: Waiting For Audio
02-Aug-2022/10:23:35	: Waiting ScreenRecord
02-Aug-2022/10:23:35	: Waiting ScreenRecord
02-Aug-2022/10:23:35	: Waiting For Audio
02-Aug-2022/10:23:36	: Waiting For Audio
02-Aug-2022/10:23:36	: Waiting ScreenRecord
02-Aug-2022/10:23:36	: Waiting For Audio
02-Aug-2022/10:23:36	: Waiting ScreenRecord
02-Aug-2022/10:23:37	: Waiting For Audio
02-Aug-2022/10:23:37	: Waiting ScreenRecord
02-Aug-2022/10:23:37	: Waiting For Audio
02-Aug-2022/10:23:37	: Waiting ScreenRecord
02-Aug-2022/10:23:38	: Waiting For Audio
02-Aug-2022/10:23:38	: Waiting ScreenRecord
02-Aug-2022/10:23:38	: Waiting ScreenRecord
02-Aug-2022/10:23:38	: Waiting For Audio
02-Aug-2022/10:23:39	: Waiting For Audio
02-Aug-2022/10:23:39	: Waiting ScreenRecord
02-Aug-2022/10:23:39	: Waiting For Audio
02-Aug-2022/10:23:39	: Waiting ScreenRecord
02-Aug-2022/10:23:40	: Waiting For Audio
02-Aug-2022/10:23:40	: Waiting ScreenRecord
02-Aug-2022/10:23:40	: Waiting For Audio
02-Aug-2022/10:23:40	: Waiting ScreenRecord
02-Aug-2022/10:23:41	: Waiting ScreenRecord
02-Aug-2022/10:23:41	: Waiting For Audio
